iter	Passed	Remaining
0	1	313
1	3	304
2	4	318
3	6	341
4	9	352
5	10	352
6	13	372
7	15	365
8	17	368
9	21	403
10	23	405
11	26	415
12	28	404
13	29	393
14	31	392
15	33	386
16	37	407
17	39	400
18	41	395
19	43	395
20	46	392
21	47	386
22	49	380
23	52	387
24	54	381
25	56	376
26	58	373
27	60	370
28	61	364
29	63	359
30	65	355
31	67	353
32	68	348
33	70	344
34	71	339
35	74	338
36	75	333
37	77	330
38	78	325
39	80	322
40	82	318
41	83	314
42	85	310
43	86	306
44	88	303
45	89	300
46	90	296
47	92	292
48	93	288
49	95	285
50	96	282
51	98	279
52	99	276
53	101	274
54	102	271
55	104	268
56	105	265
57	107	262
58	108	259
59	110	256
60	111	254
61	113	252
62	114	249
63	116	247
64	117	244
65	119	242
66	120	239
67	122	236
68	124	236
69	127	236
70	129	235
71	131	233
72	133	231
73	134	229
74	136	227
75	138	225
76	139	223
77	141	220
78	143	219
79	145	218
80	147	216
81	149	214
82	150	212
83	152	210
84	153	207
85	155	205
86	156	203
87	158	201
88	160	200
89	162	199
90	164	196
91	165	194
92	167	192
93	168	190
94	170	188
95	171	185
96	173	183
97	174	181
98	176	179
99	177	177
100	178	175
101	180	173
102	182	171
103	183	169
